group,method,image,green_dx,green_dy,red_dx,red_dy,green_ncc,red_ncc,seconds
provided,single,tobolsk,3,3,3,6,0.9207,0.8574,0.02
provided,pyramid,tobolsk,3,3,3,6,0.9207,0.8574,0.03
provided,single,cathedral,2,5,3,12,0.9602,0.9056,0.01
provided,pyramid,cathedral,2,5,3,12,0.9602,0.9056,0.03
provided,single,monastery,2,-3,2,3,0.9396,0.7941,0.02
provided,pyramid,monastery,2,-3,2,3,0.9396,0.7941,0.03
provided,pyramid,emir,23,45,-205,99,0.6933,0.2784,3.12
provided,pyramid,self_portrait,29,78,36,175,0.7864,0.7452,3.33
provided,pyramid,melons,10,81,13,178,0.9388,0.9131,3.28
provided,pyramid,church,4,25,-4,58,0.9075,0.7471,3.2
provided,pyramid,harvesters,16,58,13,124,0.7856,0.7977,3.27
provided,pyramid,icon,17,43,23,91,0.7955,0.644,3.38
provided,pyramid,ilemselga,7,40,11,130,0.7432,0.5848,3.42
provided,pyramid,religous_painting,3,27,7,67,0.8331,0.7788,3.28
provided,pyramid,siren,-6,50,-25,98,0.8445,0.8835,3.45
provided,pyramid,three_generations,14,52,11,111,0.9298,0.8964,3.26
provided,pyramid,wharf,-7,16,-16,84,0.8937,0.7652,3.37
selected,pyramid,ex1,3,7,4,14,0.9205,0.8705,0.04
selected,pyramid,ex2,1,1,2,8,0.9878,0.9443,0.04
selected,pyramid,ex3,1,4,-1,9,0.8088,0.8488,0.04
provided,edge,tobolsk,2,3,3,6,0.8226,0.779,0.06
provided,edge,cathedral,2,5,3,12,0.7371,0.6291,0.06
provided,edge,monastery,2,-3,2,3,0.8819,0.8062,0.06
provided,edge,emir,24,46,40,100,0.389,0.3438,5.39
provided,edge,self_portrait,29,78,37,175,0.4096,0.3918,5.75
provided,edge,melons,6,77,13,178,0.377,0.3375,5.62
provided,edge,church,4,25,-4,58,0.5258,0.5062,5.25
provided,edge,harvesters,17,60,13,123,0.3416,0.2972,5.49
provided,edge,icon,17,44,23,92,0.3597,0.3203,5.52
provided,edge,ilemselga,7,40,11,131,0.6328,0.5263,5.81
provided,edge,religous_painting,5,30,6,64,0.4288,0.4087,5.48
provided,edge,siren,-6,50,-24,103,0.394,0.2481,5.85
provided,edge,three_generations,12,54,10,114,0.4428,0.4272,5.5
provided,edge,wharf,-7,15,-16,83,0.6597,0.5034,5.63
